"h","k","l","d-sp","2-theta","F_obs","F_calc","phase","mult","sig","gam","FWHM","Prfo","phase #"
1,0,0,4.15739,21.413,1366.289,1352.336,0.00,6,0.03328,0.03111,0.09590,1.0000,0
1,1,0,2.93972,30.437,2369.851,2357.930,-0.00,12,0.03220,0.03459,0.09557,1.0000,0
1,1,1,2.40027,37.492,2436.103,2404.608,0.00,8,0.03134,0.03751,0.09546,1.0000,0
2,0,0,2.07870,43.554,2693.547,2256.633,0.00,6,0.03059,0.04019,0.09550,1.0000,0
2,1,0,1.85924,49.003,1830.380,1627.929,0.00,24,0.02990,0.04276,0.09564,1.0000,0
2,1,1,1.69725,54.032,1207.335,1052.326,-0.00,24,0.02925,0.04529,0.09589,1.0000,0
2,2,0,1.46986,63.257,1255.385,1134.009,0.00,12,0.02803,0.05036,0.09666,1.0000,0
2,2,1,1.38580,67.584,1790.140,1718.223,-0.00,24,0.02743,0.05298,0.09721,1.0000,0
3,0,0,1.38580,67.584,649.008,622.935,-0.00,6,0.02743,0.05298,0.09721,1.0000,0
3,1,0,1.31468,71.780,1531.982,1513.273,-0.00,24,0.02685,0.05568,0.09787,1.0000,0
3,1,1,1.25350,75.876,1065.164,1044.612,0.00,24,0.02627,0.05850,0.09866,1.0000,0
2,2,2,1.20014,79.899,659.674,614.560,0.00,8,0.02569,0.06146,0.09961,1.0000,0
3,2,0,1.15305,83.872,768.249,797.218,-0.00,24,0.02512,0.06460,0.10073,1.0000,0
3,2,1,1.11111,87.815,825.420,892.259,0.00,48,0.02454,0.06795,0.10207,1.0000,0
4,0,0,1.03935,95.689,1314.769,1274.729,-0.00,6,0.02340,0.07547,0.10558,1.0000,0
4,1,0,1.00832,99.657,692.515,694.221,0.00,24,0.02285,0.07978,0.10791,1.0000,0
3,2,2,1.00832,99.657,949.357,951.696,-0.00,24,0.02285,0.07978,0.10791,1.0000,0
3,3,0,0.97991,103.672,1208.090,1248.552,0.00,12,0.02232,0.08455,0.11074,1.0000,0
4,1,1,0.97991,103.672,717.981,742.029,-0.00,24,0.02232,0.08455,0.11074,1.0000,0
3,3,1,0.95377,107.757,569.588,592.409,-0.00,24,0.02184,0.08991,0.11424,1.0000,0
4,2,0,0.92962,111.937,837.448,805.326,-0.00,24,0.02144,0.09602,0.11862,1.0000,0
4,2,1,0.90722,116.243,877.327,831.769,0.00,48,0.02119,0.10311,0.12418,1.0000,0
3,3,2,0.88636,120.716,866.024,803.987,0.00,24,0.02117,0.11151,0.13138,1.0000,0
4,2,2,0.84862,130.389,584.232,504.744,0.00,24,0.02263,0.13463,0.15400,1.0000,0
4,3,0,0.83148,135.772,495.314,421.624,0.00,24,0.02491,0.15173,0.17265,1.0000,0
5,0,0,0.83148,135.772,612.268,521.179,-0.00,6,0.02491,0.15173,0.17265,1.0000,0
